Date,Open,High,Low,Close,Volume,"Up","Down","RSI(14)"
10/08/2021,796.21,796.38,780.91,785.49,16738604,16738604,,62.00286798668208
10/07/2021,785.46,805,783.38,793.61,19195782,19195782,,66.71150178334115
10/06/2021,776.2,786.66,773.22,782.75,14632768,14632768,,63.245024247503466
10/05/2021,784.7962,797.3099,774.2,780.59,18432625,18432625,,62.524276225653196
10/04/2021,796.5,806.9699,776.12,781.53,30483341,30483341,,63.023690056106396
10/01/2021,778.4,780.78,763.59,775.22,17031414,17031414,,61.08623345293979
09/30/2021,781,789.1305,775,775.48,17955961,17955961,,61.20894420246606
09/29/2021,779.8,793.5,770.6799,781.3099,20942877,20942877,,63.880797858257644
09/28/2021,787.2,795.64,766.1801,777.5599,25381422,25381422,,62.913868397391525
09/27/2021,773.12,799,769.3099,791.36,28070657,28070657,,69.24869160205218
09/24/2021,745.89,774.8,744.5599,774.39,21373022,21373022,,65.25374439030777
09/23/2021,755,758.2,747.92,753.64,11947527,11947527,,59.24181521624205
09/22/2021,743.5263,753.6699,739.12,751.94,15126272,15126272,,58.69816276163915
09/21/2021,734.79,744.7399,730.44,739.38,16330723,16330723,,54.537991888004726
09/20/2021,734.5577,742,718.6249,730.17,24757652,24757652,,51.190401262945386
09/17/2021,757.15,761.04,750,759.49,28204176,28204176,,65.43346002219039
09/16/2021,752.83,758.91,747.61,756.99,13923393,13923393,,64.65482079488561
09/15/2021,745,756.86,738.36,755.83,15357685,15357685,,64.30841954856157
09/14/2021,742.57,754.47,736.4,744.49,18524881,18524881,,60.82303740500926
09/13/2021,740.2143,744.78,708.85,743,22952482,22952482,,60.35063798394997
09/10/2021,759.6,762.61,734.5201,736.27,15184170,15184170,,58.23862032413779
09/09/2021,753.41,762.1,751.6301,754.86,14077731,14077731,,67.45487151955193
09/08/2021,761.58,764.45,740.7732,753.87,18793036,18793036,,67.19817954313471
09/07/2021,740,760.2,739.26,752.92,20039825,20039825,,66.9660176356183
09/03/2021,732.2494,734,724.2,733.57,15271045,15271045,,61.860487627960715
09/02/2021,734.5,740.97,730.54,732.39,12796739,12796739,,61.52375207703431
09/01/2021,734.08,741.99,731.2701,734.09,13204335,13204335,,62.25911033621917
08/31/2021,733,740.39,726.44,735.72,20855436,20855436,,62.928778203379274
08/30/2021,714.715,731,712.73,730.91,18604220,18604220,,61.80298462198701
08/27/2021,705,715,702.1001,711.92,13833763,13833763,,57.017713013946455
08/26/2021,708.3099,715.4,697.6201,701.16,13214292,13214292,,53.98464190102186
08/25/2021,707.03,716.97,704,711.2,12645562,12645562,,57.50024230916241
08/24/2021,710.6799,715.22,702.64,708.49,13083071,13083071,,56.79503990474926
08/23/2021,685.442,712.1299,680.7505,706.3,20264859,20264859,,56.250295732627954
08/20/2021,682.85,692.1299,673.7,680.26,14841865,14841865,,49.17492512461693
08/19/2021,678.21,686.55,667.59,673.47,14313486,14313486,,47.10361972891456
08/18/2021,669.7479,695.77,669.35,688.99,20349375,20349375,,51.56375358681187
08/17/2021,672.66,674.58,648.84,665.71,23721279,23721279,,44.20517160678554
08/16/2021,705.07,709.5,676.4,686.17,23103303,23103303,,50.461536869938996
08/13/2021,723.71,729.9,714.34,717.17,16731467,16731467,,63.007811562136204
08/12/2021,706.34,722.8,699.4,722.25,17681686,17681686,,65.48532275933925
08/11/2021,712.71,715.1799,704.21,707.82,9800558,9800558,,61.49142837893892
08/10/2021,713.99,716.59,701.88,709.99,13432305,13432305,,62.50135757918422
08/09/2021,710.17,719.03,705.13,713.76,14715349,14715349,,64.2024378190446
08/06/2021,711.9,716.33,697.63,699.1,15623049,15623049,,60.30101829619756
08/05/2021,716,720.9499,711.41,714.63,12919637,12919637,,67.54197141093226
08/04/2021,711,724.9,708.9299,710.92,17002647,17002647,,66.65371927221922
08/03/2021,719,722.65,701.01,709.74,21620253,21620253,,66.38200695847374
08/02/2021,700,726.94,698.4,709.67,33615765,33615765,,66.36691102322784
07/30/2021,671.758,697.53,669,687.2,29656411,29656411,,61.16957585519713
07/29/2021,649.79,683.69,648.8,677.35,30394637,30394637,,58.563125654854574
07/28/2021,646.995,654.9699,639.4,646.98,16006596,16006596,,48.70550971162066
07/27/2021,663.4,666.5,627.24,644.78,32813290,32813290,,47.87133950122106
07/26/2021,650.97,668.1999,647.11,657.62,25336556,25336556,,52.49819561650623
07/23/2021,646.36,648.8,637.3001,643.38,14604944,14604944,,47.24754162468086
07/22/2021,656.4428,662.17,644.6001,649.26,15105727,15105727,,49.3386332430837
07/21/2021,659.61,664.8599,650.2901,655.29,13953338,13953338,,51.509517292574955
07/20/2021,651.99,662.3916,640.501,660.5,15487127,15487127,,53.39438479980323
07/19/2021,629.89,647.1999,621.29,646.22,21297090,21297090,,48.6081572903572
07/16/2021,654.6799,656.6999,642.2,644.22,16370970,16370970,,47.91248316252466
07/15/2021,658.39,666.14,637.88,650.6,20209571,20209571,,49.91390776481998
07/14/2021,670.75,678.6099,652.84,653.38,21641190,21641190,,50.77204077470617
07/13/2021,686.32,693.28,666.2958,668.54,20966092,20966092,,55.6135819064706
07/12/2021,662.2,687.24,662.1609,685.7,25927042,25927042,,61.80857989818042
07/09/2021,653.1849,658.91,644.69,656.95,18140548,18140548,,53.802617321838234
07/08/2021,628.37,654.4299,620.46,652.8099,22773316,22773316,,52.47032068627028
07/07/2021,664.27,665.7,638.32,644.65,18791960,18791960,,49.821899207190256
07/06/2021,681.7115,684,651.4002,659.58,23284450,23284450,,55.0317571975231
07/02/2021,678.98,700,673.26,678.9,27097374,27097374,,62.940312014593026
07/01/2021,683.92,687.99,672.8,677.92,18634522,18634522,,62.687749165848075
06/30/2021,679.77,692.8099,678.14,679.7,18924862,18924862,,63.41667003770767
06/29/2021,684.65,687.5099,675.89,680.76,17381313,17381313,,63.82706665715068
06/28/2021,671.6,694.6999,670.32,688.72,21628159,21628159,,66.84341496454991
06/25/2021,689.58,693.8099,668.7,671.87,32496707,32496707,,63.4480254729061
06/24/2021,674.99,697.62,667.61,679.82,45982386,45982386,,66.42829435157161
06/23/2021,632,657.2039,630.04,656.57,31099228,31099228,,61.51983229952583
06/22/2021,618.25,628.5693,615.5,623.71,19158892,19158892,,52.383043579528945
06/21/2021,624.82,631.39,608.88,620.83,24812741,24812741,,51.44476250997473
06/18/2021,613.37,628.35,611.8,623.3099,24560905,24560905,,52.2682678639811
06/17/2021,601.8878,621.47,601.34,616.6,22701350,22701350,,50.26814288624113
06/16/2021,597.535,608.5,593.5,604.87,22144127,22144127,,46.63839820759405
06/15/2021,616.69,616.79,598.23,599.36,17764145,17764145,,44.88375038526093
06/14/2021,612.23,625.49,609.1799,617.69,20423983,20423983,,49.95826664622135
06/11/2021,610.23,612.5599,601.52,609.89,16205303,16205303,,47.61817091923845
06/10/2021,603.88,616.59,600.5,610.12,23919606,23919606,,47.67921997777847
06/09/2021,602.17,611.79,597.6301,598.78,16584566,16584566,,44.41671640614669
06/08/2021,623.01,623.09,595.5,603.59,26053405,26053405,,45.53504622772075
06/07/2021,591.825,610,582.88,605.13,22543682,22543682,,45.87846441471306
06/04/2021,579.71,600.61,577.2,599.05,24036896,24036896,,44.33952110120949
06/03/2021,601.8,604.55,571.22,572.84,30111893,30111893,,37.19031371709071
06/02/2021,620.14,623.36,599.14,605.12,23302779,23302779,,43.593817666962046
06/01/2021,627.8,633.8,620.55,623.9,18084890,18084890,,48.06467973219066
05/28/2021,628.5,635.59,622.38,625.22,22737038,22737038,,48.38857369173439
05/27/2021,620.24,631.13,616.21,630.85,26370593,26370593,,49.715410798041034
05/26/2021,607.5599,626.17,601.5,619.13,28639305,28639305,,46.900944058190376
05/25/2021,607.3099,613.99,595.71,604.69,28005933,28005933,,43.26812962551054
05/24/2021,581.6,614.48,573.65,606.44,34558089,34558089,,43.603841995412175
05/21/2021,596.11,596.6799,580,580.88,26030595,26030595,,36.97137372770419
05/20/2021,575,588.85,571.07,586.78,30821119,30821119,,37.92743474565622
05/19/2021,552.55,566.21,546.98,563.46,39578395,39578395,,31.418352023990682
05/18/2021,568,596.25,563.38,577.87,36830567,36830567,,33.42977941263518
05/17/2021,575.5531,589.73,561.2,576.83,32390360,32390360,,33.14293065805105
05/14/2021,583.41,592.87,570.46,589.74,33370856,33370856,,34.875126466455555
05/13/2021,601.545,606.4598,559.65,571.69,44184916,44184916,,30.134507138286537
05/12/2021,602.49,620.41,586.765,589.89,33823646,33823646,,32.33854017193134
05/11/2021,599.24,627.0999,595.6,617.2,46503896,46503896,,36.00815521368128
05/10/2021,664.9,665.05,627.6101,629.04,31392417,31392417,,37.73182149633272
05/07/2021,665.8,690,660.22,672.37,23469172,23469172,,45.0620106870378
05/06/2021,680.76,681.02,650,663.54,27784619,27784619,,42.96532307300671
05/05/2021,681.0599,685.2954,667.34,670.94,21901894,21901894,,44.28042396486419
05/04/2021,678.94,683.4464,657.701,673.6,29739319,29739319,,44.737488818230446
05/03/2021,703.8,706,680.5,684.9,27043143,27043143,,46.63639337594556
04/30/2021,667.59,715.47,666.14,709.44,40758722,40758722,,51.00184140200561
04/29/2021,699.51,702.25,668.5001,677,28845449,28845449,,44.6410142626125
04/28/2021,696.41,708.5,693.6,694.4,22271047,22271047,,47.72690713424721
04/27/2021,717.96,724,703.3501,704.74,29436995,29436995,,49.61962950910406
04/26/2021,741,749.3,732.6053,738.2,31038502,31038502,,56.33241394406537
04/23/2021,719.8,737.36,715.46,729.4,28413889,28413889,,54.84040554059639
04/22/2021,741.5,753.77,718.04,719.69,35590255,35590255,,53.202117888782006
04/21/2021,704.77,744.84,698,744.12,31215514,31215514,,58.128756558285865
04/20/2021,717.42,737.25,710.6849,718.99,35609038,35609038,,54.065798906060145
