Date,Open,High,Low,Close,Volume
07/29/2011,13.844285,14.1125,13.714285,13.945714,632150176
07/28/2011,13.986428,14.178214,13.861785,13.993571,593645920
07/27/2011,14.306785,14.38,14.005357,14.021071,658667968
07/26/2011,14.285714,14.446428,14.274285,14.4075,476315644
07/25/2011,13.941071,14.285714,13.915,14.232142,589386476
07/22/2011,13.868571,14.108928,13.848214,14.046428,516093508
07/21/2011,13.819642,13.930714,13.710714,13.831785,526081920
07/20/2011,14.147142,14.1525,13.785714,13.817857,940975000
07/19/2011,13.5,13.523214,13.332857,13.458928,819145376
07/18/2011,13.051071,13.380357,13.045714,13.35,572226844
07/15/2011,12.898928,13.035714,12.8275,13.032857,483774508
07/14/2011,12.893214,12.914642,12.726428,12.7775,430031980
07/13/2011,12.7975,12.857142,12.727857,12.786428,391340824
07/12/2011,12.626071,12.774285,12.450714,12.633928000000001,451327772
07/11/2011,12.726428,12.848928,12.600714,12.642857,442691928
07/08/2011,12.619285,12.857142,12.578571,12.846785,489801704
07/07/2011,12.666785,12.785714,12.642857,12.757142,399388332
07/06/2011,12.4625,12.646428,12.3825,12.562857,444331244
07/05/2011,12.25,12.493928,12.232142,12.479642,354545240
07/01/2011,11.998214,12.267857,11.935714,12.259285,440502636
06/30/2011,11.953571,12.004642,11.887142,11.988214,323046192
06/29/2011,12.001428,12.013214,11.852857,11.93,352572360
06/28/2011,11.916071,12.025,11.908571,11.973571,293959148
06/27/2011,11.699642,11.925,11.6875,11.858571,339848880
06/24/2011,11.834642,11.898214,11.610357,11.655357,439820724
06/23/2011,11.390714,11.846071,11.361428,11.829642,559467916
06/22/2011,11.612857,11.746428,11.513571,11.521785,390320392
06/21/2011,11.31,11.635714,11.257142,11.617857,493122812
06/20/2011,11.334285,11.346428,11.089285,11.261428,640344376
06/17/2011,11.749642,11.758928000000001,11.405714,11.437857,615289836
06/16/2011,11.675,11.73861,11.368928,11.612857,510217372
06/15/2011,11.776785,11.796428,11.602857,11.669642,399281652
06/14/2011,11.785714,11.901785,11.761071,11.872857,334451236
06/13/2011,11.685714,11.725357,11.609642000000001,11.664285,329524832
06/10/2011,11.805357,11.845,11.625357,11.639285,434054040
06/09/2011,11.901785,11.916785,11.8125,11.838928,275096024
06/08/2011,11.849285,11.957142,11.808928,11.865714,333715928
06/07/2011,12.0775,12.079285,11.853571,11.858571,529890788
06/06/2011,12.346428,12.394642,12.064642,12.072857,461684720
06/03/2011,12.256428,12.333214,12.214642,12.265714,313286120
06/02/2011,12.375,12.427857,12.296428,12.360785,338817388
06/01/2011,12.459642,12.576142,12.308928,12.339642,554096676
05/31/2011,12.182142,12.4225,12.178571,12.4225,417199216
05/27/2011,11.957142,12.058214,11.939642,12.050357,203615860
05/26/2011,11.998928,12.031785,11.944107,11.964285,222605880
05/25/2011,11.908214,12.091428,11.8875,12.027857,294078764
05/24/2011,11.982142,11.996392,11.833571,11.863928,321979028
05/23/2011,11.784642,11.999285,11.765,11.942857,382274592
05/20/2011,12.127142,12.176785,11.965,11.972142,338122624
05/19/2011,12.217142,12.229071,12.095357,12.161785,261105292
05/18/2011,12.016785,12.180357,12,12.138214,334275592
05/17/2011,11.857142,12.005,11.811785,12.005,452492180
05/16/2011,12.114285,12.186428,11.878571,11.903571,449831480
05/13/2011,12.345,12.366071,12.155357,12.160714,326136832
05/12/2011,12.361428,12.397142,12.223928,12.3775,320855332
05/11/2011,12.465,12.5,12.33,12.401071,335104896
05/10/2011,12.460357,12.488928,12.380714,12.480357,285798352
05/09/2011,12.423571,12.471428,12.375985,12.414285,204747592
05/06/2011,12.488928,12.5,12.364642,12.380714,280232820
05/05/2011,12.442857,12.533928,12.358928,12.383928,336037268
05/04/2011,12.437857,12.565357,12.388571,12.484642000000001,390787488
05/03/2011,12.428214,12.496071,12.343571,12.435714,313484136
05/02/2011,12.490714,12.51675,12.339285,12.367142,442480528
04/29/2011,12.385,12.641071,12.380928,12.504642,1005967004
04/28/2011,12.363928,12.491071,12.34,12.383928,361068148
04/27/2011,12.58,12.583928,12.396428,12.505357,355996144
04/26/2011,12.629285,12.678214,12.476785,12.515,337858668
04/25/2011,12.512142,12.633928000000001,12.510714,12.607464,266299348
04/21/2011,12.678571,12.683214,12.447142,12.524857,753610200
04/20/2011,12.268214,12.348214,12.196428,12.228928,696212552
04/19/2011,11.896428,12.070714,11.846785,12.066428,418992196
04/18/2011,11.646428,11.865357,11.434285,11.851785,612228568
